Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13
UK,2017,SQL Injection,Government,82.03,994787,Nation-state,Unpatched Software,Encryption,56
India,2016,Ransomware,Retail,9.53,89719,Unknown,Zero-day,Firewall,68
Germany,2023,SQL Injection,Telecommunications,6.09,590760,Unknown,Unpatched Software,Firewall,32
UK,2022,DDoS,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37
Japan,2019,SQL Injection,Education,89.48,682430,Hacker Group,Zero-day,VPN,5
Australia,2018,SQL Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46
France,2016,SQL Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17
France,2023,DDoS,Education,65.96,181879,Insider,Weak Passwords,Antivirus,64
Australia,2017,Phishing,Retail,95.2,715732,Unknown,Weak Passwords,Antivirus,11
UK,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23
India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5
France,2017,SQL Injection,Healthcare,27.42,94235,Insider,Social Engineering,Antivirus,29
Australia,2015,Ransomware,Telecommunications,17.38,75314,Unknown,Unpatched Software,Encryption,6
Russia,2019,Man-in-the-Middle,Retail,99.53,515797,Nation-state,Social Engineering,Firewall,46
Russia,2024,DDoS,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31
UK,2022,DDoS,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4
Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48
China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33
USA,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48
China,2015,DDoS,Education,94.74,103079,Nation-state,Social Engineering,Antivirus,57
France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71
India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67
China,2017,Phishing,IT,71.4,698847,Insider,Zero-day,AI-based Detection,17
India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32
India,2017,SQL Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29
China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32
France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72
USA,2016,Man-in-the-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26
UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67
China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24
Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22
UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26
Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40
Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55
USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29
France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29
France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10
India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49
UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10
UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51
Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70
China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26
Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56
Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47
France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3
UK,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3
Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61
Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53
India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2
Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34
France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2
China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38
China,2024,DDoS,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54
Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20
UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28
Australia,2024,Man-in-the-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31
Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67
Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31
UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10
France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65
Australia,2018,DDoS,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2
Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56
India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39
UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45
UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4
Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66
Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71
Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57
Germany,2022,SQL Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3
USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27
Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44
Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16
Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29
Brazil,2016,SQL Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54
Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42
UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67
Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40
China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55
USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44
Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44
UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36
Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7
USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2
USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13
Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19
France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36
UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31
Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3
Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10
Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37
Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46
UK,2024,SQL Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60
France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11
UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50
USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4
Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50
USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47
France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38
Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59
Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61
Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29
USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21
Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67
Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56
USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68
USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23
Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29
UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39
India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23
USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56
Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11
Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1
Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48
France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11
USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11
Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32
India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72
UK,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43
Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11
Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2
France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17
UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3
France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13
India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5
Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66
China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33
Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66
Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43
UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35
UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10
USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21
USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33
Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60
Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37
UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44
China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46
France,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60
Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44
USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70
Australia,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67
India,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63
Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3
India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8
Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71
France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44
USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33
USA,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11
USA,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26
China,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27
USA,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35
Australia,2016,Man-in-the-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15
France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20
Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19
USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7
Australia,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8
France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4
USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6
USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35
China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44
UK,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44
France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28
Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25
China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66
USA,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64
France,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54
UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8
Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45
Germany,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9
India,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68
Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62
UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50
Japan,2021,DDoS,Government,35.46,937562,Unknown,Zero-day,Firewall,10
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5
China,2022,DDoS,Government,80.76,346279,Unknown,Zero-day,Encryption,59
Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63
France,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44
India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14
India,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28
Russia,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3
Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2
China,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18
USA,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59
India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54
China,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3
China,2020,Man-in-the-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59
Japan,2022,DDoS,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40
Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57
UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15
China,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64
USA,2016,DDoS,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55
Brazil,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30
China,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7
France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15
India,2017,DDoS,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62
UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15
Australia,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54
Germany,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54
Japan,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20
Brazil,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39
India,2016,Ransomware,Education,8.55,857887,Unknown,Social Engineering,Firewall,44
Russia,2016,Phishing,Government,30.57,503775,Unknown,Zero-day,VPN,71
Japan,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17
Russia,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6
Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3
UK,2017,Man-in-the-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29
Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30
UK,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8
Japan,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65
Germany,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37
Brazil,2023,DDoS,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67
Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68
China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41
Japan,2019,Malware,IT,9.86,233545,Unknown,Zero-day,Antivirus,55
France,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33
Russia,2024,SQL Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31
India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3
India,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15
China,2023,Man-in-the-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11
USA,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16
Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8
USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63
China,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57
USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27
Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56
Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54
Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22
Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27
France,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60
Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5
France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30
USA,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6
Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54
